Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Blade Itself,Joe Abercrombie,,9780575079793,paperback,read,2024/12/10,2025/01/10,2025/01/10,1,,,,,,,,,,,,,No
The Case of the Lonely Accountant,"Simon Mason, Simon Mason",,,,read,2024/12/17,2025/01/03,2025/01/03,1,,,,,,,,,,,,,No
Case Of The Lonely Accountant,Simon Mason,,,digital,read,2024/07/28,2025/01/03,2024/12/31-2025/01/03,1,"mysterious, reflective",medium,Plot,No,N/A,Yes,No,4.0,,,,empfehlung-mick-herron-guardian-newsletter,No
Consider Phlebas,Iain M. Banks,,9781857231380,paperback,read,2015/04/04,2024/12/31,"2024/12/31, 2015/08/19",2,,,,,,,,3.0,,,,,No
Complicity,Iain Banks,,9780349105710,paperback,read,2024/12/03,2024/12/03,2024/12/03,1,,,,,,,,,,,,,No
Christine,Stephen King,,,hardcover,read,2024/10/20,2024/11/21,2024/11/21,1,,,,,,,,,,,,,No
Elidor,Alan Garner,,,,read,2024/10/27,2024/11/03,2024/11/03,1,,,,,,,,,,,,,No
Red Shift,Alan Garner,,,paperback,read,2024/10/21,2024/10/27,2024/10/27,1,,,,,,,,,,,,,No
Stuart Little,"Garth Williams, E.B. White",,,,read,2020/11/22,2024/10/21,2024/10/21,1,,,,,,,,,,,,,No
Treacle Walker,Alan Garner,,9780008477790,hardcover,read,2024/10/20,2024/10/21,2024/10/21,1,,,,,,,,,,,,,No
House of Many Ways,Diana Wynne Jones,,9780061477959,hardcover,read,2024/10/18,2024/10/18,2024/10/18,1,,,,,,,,,,,,,No
Missing Person: Alice ,Simon Mason,,9781529425949,paperback,read,2024/07/28,2024/09/13,2024/09/13,1,,,,,,,,,,,,empfehlung-mick-herron-guardian-newsletter,No
Howl's Moving Castle,Diana Wynne Jones,,9780064410342,paperback,read,2023/09/16,2024/09/11,2024/09/11,1,,,,,,,,,,,,,No
Lost and Never Found,Simon Mason,,9781529425864,hardcover,read,2024/08/21,2024/08/21,2024/08/21,1,,,,,,,,,,,,,No
The Broken Afternoon,Simon Mason,,,digital,read,2024/08/14,2024/08/13,2024/08/13,1,,,,,,,,,,,,,No
A Killing in November,Simon Mason,,9781529415674,hardcover,read,2024/07/28,2024/08/08,2024/08/08,1,,,,,,,,,,,,empfehlung-mick-herron-guardian-newsletter,No
Tears of the Giraffe,Alexander McCall Smith,,9780748662739,paperback,read,2024/08/04,2024/08/04,2024/08/04,1,,,,,,,,,,,,,No
Daddy Was a Number Runner,Louise Meriwether,,9781558614420,paperback,read,2024/01/25,2024/07/24,2024/07/24,1,,,,,,,,,,,,,No
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,9781400034772,paperback,read,2024/07/21,2024/07/21,2024/07/21,1,,,,,,,,,,,,,No
Master and Commander,Patrick O'Brian,,9780393325171,paperback,read,2012/12/03,2024/07/09,"2024/07/09-2024/07/09, 2008/09/01",2,,,,,,,,5.0,,,,,No
Pachinko,Min Jin Lee,,9781455563913,digital,read,2023/06/23,2024/06/03,2024/06/03,1,,,,,,,,,,,,,No
Dust,Hugh Howey,,9781490904382,paperback,read,2023/05/05,2024/05/19,2024/05/19,1,,,,,,,,,,,,,No
Shift,Hugh Howey,,,paperback,read,2023/05/05,2024/05/01,2024/05/01,1,,,,,,,,,,,,,No
The Wool Trilogy,Hugh Howey,,9781473506213,digital,read,2024/05/01,2024/04/18,2024/04/18,1,,,,,,,,,,,,,No
Wool,Hugh Howey,,9781780891248,paperback,read,2023/05/05,2024/04/06,2024/04/06,1,,,,,,,,,,,,,No
The Secret Hours,Mick Herron,,9781399800532,hardcover,read,2023/11/27,2024/03/18,2024/03/09-2024/03/18,1,,,,,,,,,,,,,No
The Owl Service,Alan Garner,,9780152056186,paperback,read,2023/09/16,2024/03/09,2024/03/09,1,,,,,,,,,,,,katherine-rundell-recommendation,No
The Hydrogen Sonata,Iain M. Banks,,9780356501505,hardcover,read,2024/02/28,2024/02/28,2024/02/28,1,,,,,,,,,,,,,No
Crook Manifesto,Colson Whitehead,,9780385545150,hardcover,read,2023/12/02,2024/01/05,2023/12/18-2024/01/05,1,,,,,,,,,,,,,No
Matter,Iain M. Banks,,,digital,read,2023/12/03,2023/12/03,2023/12/03,1,,,,,,,,,,,,,No
Look to Windward,Iain M. Banks,,9780743421928,paperback,read,2023/10/11,2023/10/11,2023/10/11,1,,,,,,,,,,,,,No
Inversions,Iain M. Banks,,9780743411967,paperback,read,2023/08/18,2023/08/18,2023/08/18,1,,,,,,,,,,,,,No
Excession,Iain M. Banks,,,digital,read,2023/08/04,2023/08/04,2023/08/04,1,,,,,,,,,,,,,No
The Player of Games,Iain M. Banks,,,,read,2021/07/14,2023/04/28,2023/04/28-2023/04/28,1,,,,,,,,,,,,,No
Stonemouth,Iain Banks,,,hardcover,read,2023/03/30,2023/03/30,2023/03/30,1,,,,,,,,,,,,,No
The Boys from Brazil,Ira Levin,,9780394402673,hardcover,read,2022/09/13,2023/03/20,2023/03/20,1,,,,,,,,,,,,,No
Nobody Walks,Mick Herron,,9781616954864,hardcover,read,2023/03/08,2023/03/08,2023/02/20-2023/03/08,1,,,,,,,,,,,,,No
Reconstruction,Mick Herron,,9780753181508,hardcover,read,2023/02/27,2023/02/27,2023/02/27,1,,,,,,,,,,,,,No
The Catch,Mick Herron,,9781641292344,paperback,read,2023/02/12,2023/02/12,2023/02/12,1,,,,,,,,,,,,,No
The Drop,Mick Herron,,9781473678309,hardcover,read,2023/02/05,2023/02/05,2023/02/05,1,,,,,,,,,,,,,No
The List,Mick Herron,,9781616957452,paperback,read,2023/01/29,2023/01/29,2023/01/29,1,,,,,,,,,,,,,No
Bad Actors,Mick Herron,,9781641293372,hardcover,read,2023/01/24,2023/01/24,2023/01/24,1,,,,,,,,,,,,,No
Slough House,Mick Herron,,9781641292368,hardcover,read,2023/01/09,2023/01/09,2023/01/09,1,,,,,,,,,,,,,No
Joe Country,Mick Herron,,9781473657489,paperback,read,2023/01/01,2022/12/31,2022/12/31,1,,,,,,,,,,,,,No
London Rules,Mick Herron,,9781641290241,paperback,read,2022/12/29,2022/12/29,,1,,,,,,,,,,,,,No
Spook Street,Mick Herron,,9781473621299,paperback,read,2022/12/21,2022/12/27,2022/12/27,1,,,,,,,,,,,,,No
Real Tigers,Mick Herron,,9781616956127,hardcover,read,2022/12/21,2022/12/21,2022/12/21,1,,,,,,,,,,,,,No
Dead Lions,Mick Herron,,9781616952259,hardcover,read,2022/12/05,2022/12/05,2022/12/05,1,,,,,,,,4.0,,,,,No
Slow Horses,Mick Herron,,9781569479018,digital,read,2022/07/09,2022/11/22,2022/11/22,1,,,,,,,,,,,,guardian-review,No
Magic Terror,Peter Straub,,9780007109913,paperback,read,2022/11/07,2022/11/07,2022/11/07,1,"dark, tense",fast,A mix,It's complicated,No,No,Yes,3.5,,,,,No
Koko,Peter Straub,,9780007103676,paperback,read,2022/10/19,2022/10/19,2022/10/19,1,"dark, tense, mysterious",medium,A mix,It's complicated,It's complicated,No,Yes,5.0,,,,,No
The Dispossessed,Ursula K. Le Guin,,,paperback,read,2022/08/23,2022/10/04,2022/10/04,1,,,,,,,,,,,,,No
Mr. Clubb and Mr. Cuff,Peter Straub,,,,read,2022/09/09,2022/09/09,,1,,,,,,,,,,,,,No
The Echo Maker,Richard Powers,,9780374146351,hardcover,read,2022/07/31,2022/09/06,2022/09/06,1,,,,,,,,,,,,kim-stanley-robinson-recommendation,No
Who Fears Death,Nnedi Okorafor,,9780756406172,hardcover,read,2022/08/05,2022/08/05,2022/08/05,1,"dark, sad, mysterious, emotional, adventurous",fast,A mix,No,Yes,No,Yes,3.5,,,,,No
Harlem Shuffle,Colson Whitehead,,9780385545136,hardcover,read,2022/07/21,2022/07/21,2022/07/21,1,"dark, tense, informative",fast,A mix,N/A,It's complicated,Yes,No,4.75,,,,,No
The Friends of Eddie Coyle,George V. Higgins,,,,read,2021/09/14,2022/07/08,2022/07/08,1,"dark, adventurous",fast,Plot,No,No,It's complicated,No,3.0,,,,,No
Mort,Terry Pratchett,,9780061020681,paperback,read,2022/06/20,2022/06/20,2022/06/20,1,"dark, funny",medium,Plot,It's complicated,Yes,Yes,It's complicated,4.0,,,,,No
Annihilation,Jeff VanderMeer,,9780374104092,paperback,read,2021/09/28,2022/05/27,2022/05/27,1,,,,,,,,,,,,,No
The Body,Stephen King,Robin Waterfield,9780582418172,paperback,read,2021/11/15,2022/04/27,2022/04/27,1,"dark, tense, reflective, adventurous",fast,Plot,No,No,No,Yes,4.25,,,,,No
Children of Ruin,Adrian Tchaikovsky,,9780316452533,paperback,read,2021/07/25,2022/04/20,2022/04/20,1,,,,,,,,,,,,,No
Blue Mars,Kim Stanley Robinson,,9780553573350,paperback,read,2022/02/07,2022/03/03,2022/03/03,1,"informative, reflective, inspiring, hopeful",slow,A mix,Yes,Yes,It's complicated,It's complicated,5.0,,,,,No
Green Mars,Kim Stanley Robinson,,553572393,paperback,read,2021/07/18,2021/11/21,2021/11/21,1,"informative, reflective, inspiring",medium,A mix,It's complicated,It's complicated,Yes,It's complicated,5.0,,,,ian-banks-recommendation,No
"One Night, Markovitch","Sondra Silverston, Ayelet Gundar-Goshen",,,paperback,read,2021/11/21,2021/11/10,2021/11/10,1,"dark, funny, reflective",medium,Character,Yes,Yes,No,Yes,4.25,,,,,No
Red Mars,Kim Stanley Robinson,,553560735,paperback,read,2021/07/18,2021/09/15,2021/09/15,1,,,,,,,,,,,,ian-banks-recommendation,No
When the Sky Falls,Phil Earle,,9781783449651,paperback,read,2021/06/24,2021/07/21,2021/07/21,1,"tense, sad, emotional",fast,,,,,,4.0,,,,pullman-recommendation,No
Ascension,Oliver Harris,,9780358206668,hardcover,read,2021/05/13,2021/07/13,2021/07/13,1,"tense, mysterious, adventurous",fast,Plot,No,No,No,No,4.25,,,,pullman-recommendation,No
A Shadow Intelligence,Oliver Harris,,9781408709917,paperback,read,2021/07/09,2021/07/09,2021/07/09,1,,,,,,,,4.0,,,,,No
The Crow Road,Iain Banks,,9780349109077,paperback,read,2021/05/02,2021/06/23,2021/05/30-2021/06/23,1,"funny, mysterious",medium,Character,Yes,Yes,No,Yes,5.0,,,,,No
Out of Sheer Rage,Geoff Dyer,,,,read,2021/05/15,2021/05/15,2021/05/15,1,,,,,,,,,,,,,No
A Shadow Intelligence,Oliver Harris,,9780358561941,paperback,read,2021/05/13,2021/05/13,,1,,,,,,,,,,,,,No
Redwall,Brian Jacques,,,,read,2021/02/11,2021/04,2021/04,1,adventurous,fast,Plot,Yes,Yes,It's complicated,No,3.0,,,,,No
Children of Time,Adrian Tchaikovsky,,9781447273288,hardcover,read,2021/01/16,2021/03/02,2021/03/02,1,"dark, tense, inspiring, hopeful, adventurous",slow,Plot,Yes,No,It's complicated,Yes,3.0,,,,,No
Swing Time,Zadie Smith,,9780241144152,hardcover,read,2021/02/07,2021/02/07,2021/02/07,1,"sad, mysterious, reflective, emotional, challenging, adventurous",medium,Character,It's complicated,Yes,Yes,Yes,4.5,,,,,No
Lu,Jason Reynolds,,9781432865849,paperback,read,2021/01/11,2021/01/12,2021/01/12,1,"emotional, inspiring",fast,,Yes,Yes,Yes,Yes,4.5,,,,,No
Sunny,Jason Reynolds,,,,read,2021/01/09,2021/01/09,2021/01/09,1,"sad, emotional, inspiring",fast,,Yes,Yes,Yes,Yes,4.0,,,,,No
Patina,Jason Reynolds,,,,read,2021/01/07,2021/01/05,2021/01/05,1,"emotional, inspiring",fast,,Yes,Yes,Yes,Yes,5.0,,,,,No
Ghost,Jason Reynolds,,9781481450171,digital,read,2021/01/03,2021/01/02,2021/01/02,1,"emotional, hopeful",fast,,Yes,Yes,Yes,Yes,5.0,,,,,No
Such a Fun Age,Kiley Reid,,9780525541929,digital,read,2020/12/31,2020/12/31,2020/12/31,1,"funny, informative, reflective, emotional, inspiring",fast,,Yes,Yes,Yes,Yes,5.0,,,,,No
When I Was the Greatest,Jason Reynolds,,,paperback,read,2020/12/28,2020/12/27,2020/12/27,1,"dark, tense, emotional",fast,,Yes,Yes,Yes,Yes,5.0,,,,,No
If Beale Street Could Talk,James Baldwin,,9780307275936,paperback,read,2020/12/23,2020/12/22,2020/12/22,1,"dark, tense, emotional, inspiring",medium,,Yes,Yes,Yes,Yes,5.0,,,,,No
"Stamped: Racism, Antiracism, and You","Ibram X. Kendi, Jason Reynolds",,9780316453691,hardcover,read,2020/12/14,2020/12/14,2020/12/14,1,"dark, informative, emotional, challenging, inspiring, hopeful",fast,,,,,,5.0,,,,,No
The Boy in the Black Suit,Jason Reynolds,,9781442459526,digital,read,2020/12/23,2020/12/06,2020/12/06,1,"dark, funny, emotional, inspiring",fast,,Yes,Yes,Yes,Yes,5.0,,,,,No
The Moon of Gomrath,Alan Garner,,,,read,2020/11/26,2020/11/26,2020/11/26,1,"dark, mysterious, adventurous",medium,,No,It's complicated,No,No,3.0,,,,,No
The Weirdstone of Brisingamen,Alan Garner,,,,read,2020/11/12,2020/11/12,2020/11/12,1,"dark, tense, adventurous",fast,,No,Yes,No,No,4.0,,,,,No
Lovecraft Country,Matt Ruff,,9780062292063,hardcover,read,2020/08/23,2020/10/14,2020/10/14,1,"dark, funny, mysterious, inspiring, adventurous",medium,,It's complicated,Yes,Yes,No,3.0,,,,,No
The Cartel,Don Winslow,,,digital,read,2020/09/02,2020/09/03,2020/09/03,1,"dark, tense, sad, informative, adventurous",medium,,No,No,No,It's complicated,3.0,,,,,No
The Amazing Maurice and His Educated Rodents,Terry Pratchett,,60012358,paperback,read,2020/09/03,2020/09/03,,1,"dark, funny, adventurous",medium,,Yes,Yes,Yes,Yes,3.0,,,,,No
The Inugami Clan,"Yumiko Yamazaki, Seishi Yokomizo",,,,read,,2020/08/14,2020/08/14,1,"dark, tense, sad, mysterious",medium,,No,No,No,It's complicated,4.0,,,,,No
The Honjin Murders,Seishi Yokomizo,Louise Heal Kawai (Translator),9781782275015,digital,read,2020/02/06,2020/08/08,2020/08/08,1,"dark, mysterious",fast,,No,Yes,No,Yes,4.5,,,,,No
The Night Masquerade,Nnedi Okorafor,,9780765393135,paperback,read,,2020/08/06,2020/08/06,1,"dark, mysterious, emotional, inspiring, hopeful, adventurous",fast,,Yes,Yes,Yes,Yes,5.0,,,,,No
Home,Nnedi Okorafor,,9780765393111,paperback,read,,2020/08/04,2020/08/04,1,"dark, mysterious, emotional, inspiring, hopeful, adventurous",fast,,Yes,Yes,Yes,Yes,4.0,,,,,No
Binti,Nnedi Okorafor,,9780765385253,paperback,read,2020/01/26,2020/08/02,2020/08/02,1,"dark, mysterious, hopeful, adventurous",fast,,Yes,Yes,Yes,Yes,4.0,,,,,No
The Twelve,Justin Cronin,,9780345504982,hardcover,read,,2020/07/29,2020/07/29,1,"dark, adventurous",medium,,No,N/A,No,No,2.5,,,,,No
The City We Became,N.K. Jemisin,,9780316509848,hardcover,read,2020/05/15,2020/06/28,2020/06/28,1,,,,,,,,,,,,,No
The Stone Sky,N.K. Jemisin,,9780356508689,paperback,read,2020/05/10,2020/05/30,2020/05/30,1,,,,,,,,4.0,,,,,No
The Obelisk Gate,N.K. Jemisin,,9780356508368,paperback,read,2020/05/10,2020/05/10,2020/05/10,1,,,,,,,,4.0,,,,,No
The Western Wind,Samantha Harvey,,,paperback,read,2020/04/11,2020/04/11,2020/04/11,1,,,,,,,,4.0,,,,,No
The Passage,Justin Cronin,,9781409103349,hardcover,read,2020/04/11,2020/04/11,,0,"dark, adventurous",medium,,N/A,N/A,No,No,4.0,,,,,No
Station Eleven,Emily St. John Mandel,,9781443434867,paperback,read,2020/03/31,2020/03/31,2020/03/31,1,,,,,,,,5.0,,,,,No
The Secret Commonwealth,Philip Pullman,Christopher Wormell (Illustrator),9780241373347,paperback,read,2020/03/08,2020/03/08,2020/03/08,1,,,,,,,,5.0,,,,,No
The Fifth Season,N.K. Jemisin,,9780316229296,paperback,read,2020/02/11,2020/02/11,2020/02/11,1,,,,,,,,4.0,,,,,No
Endymion,Dan Simmons,,9780553572940,paperback,read,2020/01/04,2020/01/04,2020/01/04,1,,,,,,,,3.0,,,,,No
"Hey, Sherlock!",Simon Mason,,,,read,2019/11/04,2019/11/04,2019/11/04,1,,,,,,,,4.0,,,,,No
Kid Got Shot,Simon Mason,,,,read,2019/10/27,2019/10/27,2019/10/27,1,,,,,,,,4.0,,,,,No
"Fortunately, the Milk",Neil Gaiman,Skottie Young (Illustrator),9780062224088,paperback,read,2019/10/10,2019/10/10,2019/10/10,1,,,,,,,,2.0,,,,,No
The Graveyard Book,Neil Gaiman,Dave McKean (Illustrator),9780060530921,hardcover,read,2019/10/07,2019/10/07,2019/10/07,1,,,,,,,,5.0,,,,,No
La Belle Sauvage,Philip Pullman,,9781409025474,digital,read,2019/10/02,2019/10/02,2019/10/02,1,,,,,,,,5.0,,,,,No
Coraline,Neil Gaiman,"Dave McKean (Illustrator), Dave McKean (Illustrator)",9780380807345,paperback,read,2019/09/23,2019/09/23,2019/09/23,1,,,,,,,,4.0,,,,,No
Odd and the Frost Giants,Neil Gaiman,Mark Buckingham (Illustrator),9780747595380,paperback,read,2019/08/07,2019/09/20,2019/09/20,1,,,,,,,,4.0,,,,,No
The Tin Princess,Philip Pullman,,9780439977791,paperback,read,2019/09/16,2019/09/16,2019/09/16,1,,,,,,,,4.0,,,,,No
The Tiger in the Well,Philip Pullman,Anton Lesser (Narrator),9781400089758,audio,read,2019/08/15,2019/08/26,2019/08/26,1,,,,,,,,5.0,,,,,No
The Shadow in the North,Philip Pullman,,9780394825991,paperback,read,2019/08/15,2019/08/15,2019/08/15,1,,,,,,,,5.0,,,,,No
Running Girl,Simon Mason,,,,read,2019/08/13,2019/08/13,2019/08/13,1,,,,,,,,4.0,,,,,No
The Ruby in the Smoke,Philip Pullman,,9780394895895,paperback,read,2019/08/15,2019/08/02,2019/08/02,1,,,,,,,,5.0,,,,,No
The Rise of Endymion,Dan Simmons,,,paperback,read,2019/08/02,2019/08/02,2019/08/02,1,,,,,,,,3.0,,,,,No
The Fall of Hyperion,Dan Simmons,,9780385267472,paperback,read,2019/05/01,2019/05/01,2019/05/01,1,,,,,,,,4.0,,,,,No
Watership Down,Richard Adams,,9780380395866,paperback,read,2019/02/12,2019/02/28,2019/02/28,1,,,,,,,,5.0,,,,,No
Dispatches,Michael Herr,,,paperback,read,2016/07/12,2019/02/11,2019/02/11,1,,,,,,,,5.0,,,,,No
Eye of the Needle,Ken Follett,,9780060748159,paperback,read,2019/01/30,2019/01/30,2019/01/30,1,,,,,,,,4.0,,,,,No
A Column of Fire,Ken Follett,,9780525954972,hardcover,read,2019/01/23,2019/01/23,2019/01/23,1,,,,,,,,3.0,,,,,No
World Without End,Ken Follett,,045122499X,paperback,read,2019/01/08,2019/01/08,2019/01/08,1,,,,,,,,3.0,,,,,No
Wyrd Sisters,Terry Pratchett,,552134600,paperback,read,2018/12/11,2018/12/11,2018/12/11,1,,,,,,,,2.0,,,,,No
Equal Rites,Terry Pratchett,,9780552166614,paperback,read,2018/12/01,2018/12/01,2018/12/01,1,,,,,,,,3.0,,,,,No
The Shepherd's Crown,"Terry Pratchett, Rob Wilkins",,,paperback,read,2018/11/16,2018/11/16,2018/11/16,1,,,,,,,,3.0,,,,,No
Provenance,Ann Leckie,,9780316388634,digital,read,2018/11/02,2018/11/02,2018/11/02,1,,,,,,,,4.0,,,,,No
CryoBurn,Lois McMaster Bujold,,,hardcover,read,2018/10/14,2018/10/14,2018/10/14,1,,,,,,,,3.0,,,,,No
Captain Vorpatril's Alliance,Lois McMaster Bujold,,9781451638455,hardcover,read,2018/10/07,2018/10/07,2018/10/07,1,,,,,,,,3.0,,,,,No
Diplomatic Immunity,Lois McMaster Bujold,,,,read,2018/09/09,2018/09/09,2018/09/09,1,,,,,,,,3.0,,,,,No
Tschick,Wolfgang Herrndorf,,9783871347108,hardcover,read,2018/09/01,2018/08/31,2018/08/31,1,,,,,,,,5.0,,,,,No
A Civil Campaign,Lois McMaster Bujold,,671578855,paperback,read,2018/08/21,2018/08/21,2018/08/21,1,,,,,,,,3.0,,,,,No
Komarr,Lois McMaster Bujold,,671578081,digital,read,2018/08/16,2018/08/16,2018/08/16,1,,,,,,,,3.0,,,,,No
Memory,Lois McMaster Bujold,,,digital,read,2018/08/04,2018/08/04,2018/08/04,1,,,,,,,,3.0,,,,,No
Mirror Dance,Lois McMaster Bujold,,671876465,paperback,read,2018/07/23,2018/07/23,2018/07/23,1,,,,,,,,2.0,,,,,No
Brothers in Arms,Lois McMaster Bujold,,,digital,read,2018/07/09,2018/07/15,2018/07/15,1,,,,,,,,3.0,,,,,No
Ethan of Athos,Lois McMaster Bujold,,,digital,read,2018/07/09,2018/07/09,2018/07/09,1,,,,,,,,3.0,,,,,No
Cetaganda,Lois McMaster Bujold,,,digital,read,2018/06/28,2018/06/28,2018/06/28,1,,,,,,,,3.0,,,,,No
The Vor Game,Lois McMaster Bujold,,,digital,read,2018/06/27,2018/06/27,2018/06/27,1,,,,,,,,3.0,,,,,No
The Warrior's Apprentice,Lois McMaster Bujold,,,,read,2018/06/27,2018/06/13,2018/06/13,1,,,,,,,,3.0,,,,,No
Shards of Honour,Lois McMaster Bujold,,,,read,2018/06/27,2018/05/27,2018/05/27,1,,,,,,,,3.0,,,,,No
Barrayar,Lois McMaster Bujold,,9780743468411,paperback,read,2018/05/27,2018/05/25,2018/05/25,1,,,,,,,,3.0,,,,,No
Falling Free,Lois McMaster Bujold,,9781886778535,hardcover,read,2018/05/11,2018/05/11,2018/05/11,1,,,,,,,,4.0,,,,,No
Tyll,Daniel Kehlmann,Ross Benjamin (Translator),9781529403657,hardcover,read,2018/01/23,2018/01/24,2018/01/24,1,,,,,,,,4.0,,,,,No
Equal Danger,Leonardo Sciascia,"Adrienne Foulke (Translator), Carlin Romano (Contributor)",9781590170625,paperback,read,2018/01/15,2018/01/15,2018/01/15,1,,,,,,,,2.0,,,,,No
A ciascuno il suo,Leonardo Sciascia,,884591514X,paperback,read,2018/01/10,2018/01/10,2018/01/10,1,,,,,,,,3.0,,,,,No
Le Temps Des Secrets,Marcel Pagnol,,,,read,2017/11/22,2018/01/03,2018/01/03,1,,,,,,,,5.0,,,,,No
